2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H26,Fixed tangible assets,Financial position,"1,148",ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H27,Additions to fixed assets,Financial position,401,ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H28,Disposals of fixed assets,Financial position,113,ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H29,Other assets,Financial position,472,ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H30,Total equity and liabilities,Financial position,"2,452",ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,894,ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H32,Current liabilities,Financial position,958,ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars (millions),H33,Other liabilities,Financial position,599,ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars,H34,Total income per employee count,Financial ratios,"93,800",ANZSIC06 groups N731 and N732
2017,Level 4,MN213,"Building Cleaning, Pest Control and Other Support Services",Dollars,H35,Surplus per employee count,Financial ratios,"7,400",ANZSIC06 groups N731 and N732
